wl,n
0.30,1.56
0.31,1.61
0.32,1.64
0.33,1.66
0.34,1.65
0.35,1.63
0.36,1.60
0.37,1.57
0.38,1.55
0.39,1.55
0.40,1.55
0.41,1.55
0.42,1.53
0.43,1.50
0.44,1.47
0.45,1.44
0.46,1.40
0.47,1.32
0.48,1.18
0.49,1.00
0.50,0.82
0.51,0.66
0.52,0.54
0.53,0.45
0.54,0.39
0.55,0.34
0.56,0.31
0.57,0.28
0.58,0.26
0.59,0.24
0.60,0.22
0.61,0.20
0.62,0.19
0.63,0.18
0.64,0.17
0.65,0.16
0.66,0.16
0.67,0.15
0.68,0.15
0.69,0.14
0.70,0.14
0.71,0.13
0.72,0.13
0.73,0.13
0.74,0.13
0.75,0.13
0.76,0.13
0.77,0.12
0.78,0.12
0.79,0.12
0.80,0.12
0.81,0.12
0.82,0.12
0.83,0.12
0.84,0.13
0.85,0.13
0.86,0.13
0.87,0.13
0.88,0.13
0.89,0.13
0.90,0.13
0.91,0.13
0.92,0.13
0.93,0.14
0.94,0.14
0.95,0.14
0.96,0.14
0.97,0.14
0.98,0.14
0.99,0.15
1.00,0.15
1.01,0.15
1.02,0.15
1.03,0.15
1.04,0.16
1.05,0.16
1.06,0.16
1.07,0.16
1.08,0.16
1.09,0.17
1.10,0.17
1.11,0.17
1.12,0.17
1.13,0.18
1.14,0.18
1.15,0.18
1.16,0.18
1.17,0.18
1.18,0.19
1.19,0.19
1.20,0.19
1.21,0.19
1.22,0.20
1.23,0.20
1.24,0.20
1.25,0.21
1.26,0.21
1.27,0.21
1.28,0.21
1.29,0.22
1.30,0.22
1.31,0.22
1.32,0.22
1.33,0.23
1.34,0.23
1.35,0.23
1.43,0.26
1.44,0.26
1.45,0.26
1.46,0.26
1.47,0.27
1.48,0.27
1.49,0.27
1.50,0.28
1.51,0.28
1.52,0.29
1.53,0.29
1.54,0.29
1.55,0.30
1.56,0.30
1.57,0.30
1.58,0.31
1.59,0.31
1.60,0.32
1.61,0.32
1.62,0.32
1.63,0.33
1.64,0.33
1.65,0.34
1.66,0.34
1.67,0.35
1.68,0.35
1.69,0.35
1.70,0.36
1.71,0.36
1.72,0.37
1.73,0.37
1.74,0.38
1.75,0.38
1.76,0.39
1.77,0.39
1.78,0.40
1.79,0.40
1.80,0.41
1.81,0.41
1.82,0.42
1.83,0.42
1.84,0.43
1.85,0.44
1.86,0.44
1.87,0.45
1.88,0.45
1.89,0.46
1.90,0.47
1.91,0.47
1.92,0.48
1.93,0.48
1.94,0.49
1.95,0.50
1.96,0.50
1.97,0.51
1.98,0.52
1.99,0.52
2.00,0.53
2.01,0.53
2.02,0.54
2.03,0.54
2.04,0.55
2.05,0.55
2.06,0.56
2.06,0.56
2.08,0.57
2.08,0.58
2.10,0.58
2.10,0.59
2.12,0.59
2.13,0.60
2.14,0.61
2.15,0.61
2.15,0.61
2.17,0.62
2.18,0.63
2.19,0.63
2.20,0.64
2.21,0.64
2.22,0.65
2.23,0.66
2.24,0.66
2.24,0.66
2.26,0.67
2.27,0.68
2.27,0.68
2.28,0.69
2.30,0.70
2.31,0.70
2.32,0.71
2.32,0.71
2.34,0.72
2.35,0.73
2.36,0.73
2.37,0.74
2.37,0.74
2.38,0.75
2.39,0.75
2.41,0.76
2.42,0.77
2.43,0.77
2.44,0.78
2.45,0.79
2.46,0.79
2.46,0.80
2.47,0.80
2.48,0.81
2.49,0.82
2.50,0.82
2.51,0.83
2.52,0.83
2.53,0.84
2.54,0.85
2.55,0.85
2.56,0.86
2.57,0.87
2.58,0.87
2.59,0.88
2.60,0.89
2.61,0.89
2.62,0.90
2.64,0.91
2.65,0.92
2.66,0.92
2.67,0.93
2.68,0.94
2.69,0.95
2.70,0.95
2.71,0.96
2.72,0.97
2.74,0.98
2.75,0.98
2.76,0.99
2.77,1.00
2.78,1.01
2.79,1.02
2.81,1.03
2.82,1.04
2.83,1.04
2.84,1.05
2.86,1.06
2.87,1.07
2.88,1.08
2.89,1.09
2.91,1.10
2.92,1.11
2.93,1.12
2.95,1.13
2.96,1.14
2.97,1.15
2.99,1.16
3.00,1.17
3.02,1.18
3.03,1.19
3.04,1.20
3.06,1.21
3.07,1.22
3.09,1.23
3.10,1.25
3.12,1.26
3.13,1.27
3.15,1.28
3.16,1.29
3.18,1.30
3.19,1.32
3.21,1.33
3.22,1.34
3.24,1.36
3.26,1.37
3.27,1.38
3.29,1.40
3.31,1.41
3.32,1.42
3.34,1.44
3.36,1.45
3.38,1.47
3.39,1.48
3.41,1.50
3.43,1.51
3.45,1.53
3.47,1.54
3.49,1.56
3.50,1.57
3.52,1.59
3.54,1.61
3.56,1.62
3.58,1.64
3.60,1.66
3.62,1.68
3.64,1.69
3.66,1.71
3.68,1.73
3.70,1.75
3.73,1.77
3.75,1.79
3.77,1.81
3.79,1.83
3.81,1.85
3.84,1.87
3.86,1.89
3.88,1.91
3.90,1.93
3.93,1.96
3.95,1.98
3.98,2.00
4.00,2.03
4.03,2.05
4.05,2.07
4.08,2.10
4.10,2.12
4.13,2.15
4.16,2.18
4.18,2.20
4.21,2.23
4.24,2.26
4.26,2.28
4.29,2.31
4.32,2.34
4.35,2.37
4.38,2.40
4.41,2.43
4.44,2.46
4.47,2.50
4.50,2.53
4.53,2.56
4.56,2.59
4.60,2.63
4.63,2.66
4.66,2.70
4.70,2.74
4.73,2.77
4.77,2.81
4.80,2.85
4.84,2.89
4.87,2.93
4.91,2.97
4.95,3.01
4.99,3.06
5.02,3.10
5.06,3.14
5.10,3.19
5.14,3.24
5.19,3.28
5.23,3.33
5.27,3.38
5.31,3.43
5.36,3.48
5.40,3.54
5.45,3.59
5.49,3.65
5.54,3.70
5.59,3.76
5.64,3.82
5.69,3.88
5.74,3.94
5.79,4.01
5.84,4.07
5.89,4.14
5.95,4.21
6.00,4.28
6.06,4.35
6.11,4.42
6.17,4.49
6.23,4.57
6.29,4.65
6.35,4.73
6.42,4.81
6.48,4.90
6.55,4.98
6.61,5.07
6.68,5.16
6.75,5.26
6.82,5.35
6.90,5.45
6.97,5.55
7.05,5.66
7.12,5.76
7.20,5.87
7.28,5.99
7.37,6.10
7.45,6.22
7.54,6.34
7.63,6.47
7.72,6.60
7.81,6.73
7.90,6.87
8.00,7.01
8.10,7.15
8.20,7.30
8.31,7.46
8.42,7.61
8.53,7.78
8.64,7.94
8.76,8.12
8.88,8.29
9.00,8.48
9.13,8.66
9.26,8.86
9.39,9.06
9.53,9.27
9.67,9.48
9.82,9.70
9.97,9.93
10.13,10.16
10.29,10.40
10.45,10.65
10.63,10.91
10.80,11.17
10.99,11.45
11.17,11.73
11.37,12.02
11.57,12.33
11.78,12.64
12.00,12.96
12.23,13.30
12.46,13.64
12.71,14.00
12.96,14.37
