wl,n
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.93
0.02,0.94
0.02,0.94
0.02,0.94
0.02,0.94
0.02,0.95
0.02,0.95
0.02,0.95
0.02,0.96
0.02,0.96
0.02,0.96
0.02,0.97
0.02,0.97
0.02,0.98
0.02,0.98
0.02,0.99
0.02,0.99
0.02,1.00
0.02,1.00
0.02,1.00
0.02,1.01
0.02,1.01
0.02,1.01
0.02,1.01
0.02,1.01
0.03,1.01
0.03,1.01
0.03,1.01
0.03,1.01
0.03,1.01
0.03,1.01
0.03,1.01
0.03,1.01
0.03,1.01
0.03,1.00
0.03,1.00
0.03,1.00
0.03,1.00
0.03,1.01
0.03,1.01
0.03,1.01
0.03,1.02
0.03,1.03
0.03,1.04
0.03,1.05
0.03,1.06
0.03,1.07
0.03,1.07
0.03,1.08
0.03,1.08
0.03,1.08
0.03,1.08
0.03,1.08
0.03,1.07
0.04,1.07
0.04,1.06
0.04,1.05
0.04,1.05
0.04,1.04
0.04,1.03
0.04,1.02
0.04,1.01
0.04,1.00
0.04,0.99
0.04,0.98
0.04,0.96
0.04,0.95
0.04,0.94
0.04,0.95
0.05,1.00
0.05,1.03
0.05,1.02
0.05,1.00
0.05,0.97
0.05,0.93
0.05,0.88
0.05,1.07
0.05,1.04
0.05,1.00
0.06,0.97
0.06,0.94
0.06,0.92
0.06,0.90
0.06,0.88
0.06,0.86
0.06,0.83
0.07,0.81
0.07,0.78
0.07,0.75
0.07,0.72
0.07,0.69
0.08,0.66
0.08,0.62
0.08,0.59
0.08,0.56
0.09,0.53
0.09,0.52
0.09,0.52
0.10,0.54
0.10,0.56
0.10,0.58
0.11,0.61
0.11,0.63
0.12,0.64
0.12,0.64
0.13,0.63
0.14,0.62
0.15,0.62
0.15,0.64
0.17,0.68
0.18,0.73
0.19,0.78
0.21,0.79
0.23,0.76
0.25,0.74
0.26,0.75
0.28,0.80
0.29,0.86
0.31,0.94
0.33,0.96
0.35,0.87
0.38,0.71
0.41,0.53
0.45,0.39
0.50,0.30
0.55,0.25
0.62,0.22
0.71,0.23
0.83,0.26
0.99,0.33
1.24,0.48
1.65,0.81
2.48,1.78
,
wl,k
0.02,0.09
0.02,0.09
0.02,0.10
0.02,0.10
0.02,0.10
0.02,0.10
0.02,0.10
0.02,0.11
0.02,0.11
0.02,0.11
0.02,0.11
0.02,0.12
0.02,0.12
0.02,0.12
0.02,0.13
0.02,0.13
0.02,0.13
0.02,0.14
0.02,0.14
0.02,0.15
0.02,0.15
0.02,0.15
0.02,0.16
0.02,0.16
0.02,0.16
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.17
0.02,0.16
0.02,0.16
0.02,0.16
0.02,0.16
0.02,0.15
0.03,0.15
0.03,0.15
0.03,0.15
0.03,0.15
0.03,0.15
0.03,0.15
0.03,0.15
0.03,0.15
0.03,0.15
0.03,0.15
0.03,0.16
0.03,0.16
0.03,0.16
0.03,0.17
0.03,0.17
0.03,0.18
0.03,0.18
0.03,0.18
0.03,0.19
0.03,0.18
0.03,0.18
0.03,0.17
0.03,0.16
0.03,0.16
0.03,0.15
0.03,0.14
0.03,0.13
0.03,0.12
0.03,0.11
0.04,0.10
0.04,0.10
0.04,0.09
0.04,0.09
0.04,0.08
0.04,0.08
0.04,0.08
0.04,0.08
0.04,0.08
0.04,0.08
0.04,0.08
0.04,0.09
0.04,0.10
0.04,0.13
0.04,0.17
0.05,0.19
0.05,0.15
0.05,0.11
0.05,0.09
0.05,0.09
0.05,0.10
0.05,0.18
0.05,0.23
0.05,0.10
0.05,0.08
0.06,0.07
0.06,0.07
0.06,0.07
0.06,0.08
0.06,0.08
0.06,0.09
0.06,0.09
0.07,0.10
0.07,0.11
0.07,0.13
0.07,0.14
0.07,0.17
0.08,0.19
0.08,0.23
0.08,0.27
0.08,0.33
0.09,0.39
0.09,0.46
0.09,0.53
0.10,0.60
0.10,0.67
0.10,0.72
0.11,0.76
0.11,0.80
0.12,0.83
0.12,0.88
0.13,0.93
0.14,1.01
0.15,1.10
0.15,1.21
0.17,1.31
0.18,1.40
0.19,1.47
0.21,1.54
0.23,1.66
0.25,1.85
0.26,1.97
0.28,2.10
0.29,2.21
0.31,2.27
0.33,2.29
0.35,2.31
0.38,2.44
0.41,2.70
0.45,3.07
0.50,3.53
0.55,4.07
0.62,4.73
0.71,5.54
0.83,6.60
0.99,8.04
1.24,10.17
1.65,13.66
2.48,20.49
